facet,group,A,H,N,G,V,growthH,MAIh,growthG,MAIg,growthVt,MAIv,Dq,Dn,Dx,a,b,c,si,vtotal,vdlu_6cm,vdlu_8cm,vdlu_12cm,vdlu_16cm,vdlu_0cm
g2,5364,29,29.54227024,730.5838675,46.20136851,480.2633048,0.493207095,1.018698974,0.496238561,1.593150638,13.60855664,16.56080361,28.37575595,21.14693894,33.28022243,21.14693894,8.157802267,2.013762839,23.73871793,480.2633048,471.0187001,459.6527268,419.9952023,358.2045718,480.2633048
g2,5364,30,30.00408338,727.0211288,46.63752144,496.3330034,0.461813144,1.000136113,0.436152926,1.554584048,16.0696986,16.54443345,28.57914776,21.29031426,33.12749214,21.29031426,8.223751587,1.989746067,23.73871793,496.3330034,486.8594839,475.1920165,434.6080514,371.3982715,496.3330034
g2,5365,9.5036,12.33,850,11.45,47.62897164,0,1.297403089,0,1.215473132,0,5.056046754,13.0962917,9.54927658,19.54376124,9.54927658,3.998287125,2.484722372,24.39153267,47.62897164,46.83784584,42.88185265,26.20251049,4.540262619,47.62897164
g2,5365,10,13.03299227,846.8175812,14.1043876,60.91444195,0.702992269,1.303299227,2.654387598,1.41043876,13.28547031,6.091444195,14.56254376,10.77372561,20.53433023,10.77372561,4.270795854,2.48614208,24.39153267,60.91444195,60.20945989,56.70926022,39.62517928,12.88104113,60.91444195
g2,5365,11,14.41456217,840.5083663,17.38710873,82.3470715,1.3815699,1.310414743,3.282721129,1.580646248,21.43262955,7.486097409,16.22922286,12.03782063,22.23455409,12.03782063,4.725445185,2.46689943,24.39153267,82.3470715,81.77937056,77.83784553,58.72432891,27.75100138,82.3470715
g2,5365,12,15.74571027,834.3436518,20.49746798,105.6579607,1.331148099,1.312142522,3.110359252,1.708122332,23.31088923,8.804830061,17.68612478,13.14194444,23.78416133,13.14194444,5.124181173,2.444916317,24.39153267,105.6579607,104.4199347,100.3584724,79.60705488,45.28445937,105.6579607
g2,5365,13,17.02297267,828.3303852,23.40211719,130.407035,1.277262404,1.309459436,2.90464921,1.800162861,24.74907425,10.03131038,18.96622236,14.11076866,25.18393219,14.11076866,5.476297315,2.420909205,24.39153267,130.407035,128.7162461,124.0907129,101.755639,64.54722963,130.407035
g2,5365,14,18.24428621,822.4726247,26.08786984,156.2734617,1.221313534,1.3031633,2.685752652,1.863419274,25.86642675,11.16239012,20.09618606,14.96447654,26.43740772,14.96447654,5.789041824,2.395444696,24.39153267,156.2734617,153.9553616,148.9727089,124.8231155,84.83231393,156.2734617
g2,5365,15,19.40867326,816.7722195,28.5526318,183.7202412,1.164387049,1.29391155,2.464761956,1.903508786,27.44677945,12.24801608,21.09733761,15.71924438,27.54972306,15.71924438,6.0681542,2.368960106,24.39153267,183.7202412,180.3779096,174.8468299,148.9556244,106.0421023,183.7202412
g2,5365,16,20.51599621,811.229323,30.80091427,211.284934,1.107322951,1.282249763,2.248282473,1.925057142,27.56469279,13.20530837,21.98695275,16.38820047,28.52708607,16.38820047,6.318254309,2.341794145,24.39153267,211.284934,207.1143793,200.7942746,173.1700879,127.6453781,211.284934
g2,5365,17,21.56676429,805.8427871,32.84132378,239.1009018,1.050768084,1.268633194,2.040409508,1.931842575,27.81596782,14.06475893,22.77929217,16.98221209,29.37645885,16.98221209,6.543117834,2.314211745,24.39153267,239.1009018,234.0590242,227.0254418,197.4307631,149.313065,239.1009018
g2,5365,18,22.56198057,800.6104682,34.68499534,266.7276211,0.995216275,1.253443365,1.843671564,1.926944186,27.62671928,14.81820117,23.48633479,17.51044472,30.10531286,17.51044472,6.745872442,2.286422011,24.39153267,266.7276211,260.7158058,252.754361,221.1883121,170.4044152,266.7276211
g2,5365,19,23.5030201,795.5294661,36.3445378,293.2795596,0.941039532,1.237001058,1.659542455,1.91287041,26.55193855,15.4357663,24.11828924,17.98074747,30.72142262,17.98074747,6.929139663,2.258590999,24.39153267,293.2795596,286.4673714,277.660343,244.3941841,191.3018576,293.2795596
g2,5365,20,24.39153267,790.5963141,37.83329361,318.6046456,0.888512572,1.219576634,1.48875581,1.89166468,25.32508599,15.93023228,24.68395478,18.39992102,31.23268977,18.39992102,7.09513938,2.23085091,24.39153267,318.6046456,311.082159,301.6017318,266.8565192,211.8333183,318.6046456
g2,5365,21,25.22936496,785.8071284,39.16481093,342.5746733,0.837832285,1.201398331,1.33151733,1.864990997,23.97002769,16.31307968,25.19098182,18.77390824,31.6469958,18.77390824,7.245768171,2.2033069,24.39153267,342.5746733,334.4688854,324.4063429,288.2737965,231.506868,342.5746733
g2,5365,22,26.01849826,781.1577283,40.35246794,365.3376184,0.789133302,1.182659012,1.187657003,1.834203088,22.76294512,16.60625538,25.64606526,19.10793425,31.97208223,19.10793425,7.382659022,2.176042237,24.39153267,365.3376184,356.7435937,346.1702436,308.8566937,250.5411142,365.3376184
g2,5365,23,26.76099877,776.6437317,41.40920996,387.383192,0.74250051,1.163521686,1.056742025,1.800400433,22.04557364,16.84274748,26.055092,19.40661247,32.2154563,19.40661247,7.507227558,2.149122313,24.39153267,387.383192,378.3664801,367.3242665,328.9180598,269.1065281,387.383192
g2,5365,24,27.45897794,772.2606313,42.34737185,407.9616321,0.697979169,1.144124081,0.938161891,1.764473827,20.57844004,16.99840134,26.42325663,19.67402777,32.38431987,19.67402777,7.62070834,2.122597841,24.39153267,407.9616321,398.6073853,387.1523924,347.7780226,286.5754153,407.9616321
g2,5365,25,28.11456107,768.0038562,43.17856466,427.0644442,0.655583128,1.124582443,0.83119281,1.727142587,19.10281216,17.08257777,26.75515429,19.91380344,32.4855185,19.91380344,7.724183718,2.096507424,24.39153267,427.0644442,417.4151644,405.6193171,365.2854627,302.7956539,427.0644442
g2,5365,26,28.72986256,763.8688203,43.91361095,444.777271,0.61530149,1.104994714,0.735046289,1.688985037,17.71282673,17.10681811,27.05485699,20.12915649,32.52550781,20.12915649,7.818607041,2.070879667,24.39153267,444.777271,434.8724224,422.839021,381.6300093,317.9817793,444.777271
g2,5365,27,29.30696661,759.850961,44.5625164,461.1094393,0.577104059,1.085443208,0.648905451,1.650463571,16.33216835,17.07812738,27.32597737,20.32294436,32.51033424,20.32294436,7.90482153,2.045734922,24.39153267,461.1094393,450.9463336,438.5922264,396.5250916,331.7318459,461.1094393
g2,5365,28,29.84791238,755.9457704,45.13446819,479.9071175,0.540945765,1.065996871,0.571951788,1.611945293,18.79767818,17.13953991,27.57172279,20.4977051,32.44562735,20.4977051,7.983575768,2.021086736,24.39153267,479.9071175,469.4901571,456.8231599,413.6822942,347.2473543,479.9071175
g2,5365,29,30.35468267,752.1488183,45.63785263,493.8352017,0.50677029,1.046713195,0.503384442,1.573719056,13.92808421,17.02880006,27.79494195,20.65569216,32.33660147,20.65569216,8.055536529,1.996943068,24.39153267,493.8352017,483.3411263,470.5467665,426.9417026,359.691922,493.8352017
g2,5365,30,30.82919567,748.4557718,46.08028632,506.6616189,0.474513005,1.027639856,0.442433687,1.536009544,12.82641715,16.88872063,27.99816527,20.7989052,32.18806434,20.7989052,8.121299494,1.973307304,24.39153267,506.6616189,496.1200439,483.2253671,439.2698709,371.3026038,506.6616189
g2,5366,9.5036,12.21,801,11.25,46.29577097,0,1.284776295,0,1.19424216,0,4.914521026,13.37257562,9.842105609,19.73087991,9.842105609,3.978951142,2.502490117,24.15414549,46.29577097,45.64718282,42.15760028,26.82196509,5.170616089,46.29577097
g2,5366,10,12.9061505,797.968611,13.88205771,59.3833589,0.696150496,1.29061505,2.632057711,1.388205771,13.08758793,5.93833589,14.88295189,11.10905156,20.75410701,11.10905156,4.253200686,2.504965536,24.15414549,59.3833589,59.057211,55.78868572,40.06647446,15.1237038,59.3833589
g2,5366,11,14.27427446,791.9595616,17.14140905,80.17676132,1.368123965,1.297661315,3.259351343,1.558309914,20.79340241,7.288796483,16.60071583,12.4223474,22.50161449,12.4223474,4.709880381,2.486600959,24.15414549,80.17676132,79.84641464,76.32552993,59.05320177,30.21092492,80.17676132
g2,5366,12,15.59246735,786.0891069,20.23241843,103.0440106,1.318192887,1.299372279,3.091009379,1.686034869,22.86724932,8.587000886,18.10268812,13.56987938,24.09731788,13.56987938,5.110427867,2.465272245,24.15414549,103.0440106,102.1197509,98.49797171,79.74649887,48.08414448,103.0440106
g2,5366,13,16.85729897,780.3638066,23.12034109,127.3357648,1.264831626,1.296715306,2.88792266,1.778487776,24.29175417,9.795058831,19.4224324,14.57688813,25.54114569,14.57688813,5.464161603,2.441724807,24.15414549,127.3357648,125.9727823,122.1005957,101.7337222,67.34026331,127.3357648
g2,5366,14,18.06672624,774.7874661,25.79129047,152.7009774,1.209427271,1.290480446,2.670949379,1.842235034,25.36521255,10.90721267,20.5873431,15.46425417,26.83613642,15.46425417,5.778358787,2.416556536,24.15414549,152.7009774,150.5240753,146.3598531,124.630743,87.67243759,152.7009774
g2,5366,15,19.21978106,769.3617862,28.24280524,179.5103677,1.153054815,1.281318737,2.451514769,1.882853683,26.80939032,11.96735784,21.61940161,16.24878912,27.98712084,16.24878912,6.058784474,2.390232845,24.15414549,179.5103677,176.6512633,172.0884041,148.5198134,108.9173795,179.5103677
g2,5366,16,20.31632714,764.086853,30.47918268,206.2565889,1.096546085,1.269770447,2.236377438,1.904948918,26.74622127,12.89103681,22.53644213,16.94415914,29.00013212,16.94415914,6.310079518,2.363116392,24.15414549,206.2565889,202.6676323,197.2940899,172.2318221,130.3048826,206.2565889
g2,5366,17,21.35686878,758.961515,32.50888566,233.4856631,1.040541631,1.256286399,2.029702981,1.912287392,27.22907415,13.73445077,23.35319058,17.56167958,29.88205199,17.56167958,6.536036565,2.335492215,24.15414549,233.4856631,229.0815113,222.9725462,196.2416484,151.9583245,233.4856631
g2,5366,18,22.34239925,753.9836742,34.34293837,260.3054967,0.985530472,1.241244403,1.834052705,1.90794102,26.81983359,14.46141648,24.08201449,18.11089021,30.64034375,18.11089021,6.739797036,2.30758626,24.15414549,260.3054967,255.1424199,248.2295224,219.8815213,173.3223389,260.3054967
g2,5366,19,23.27428024,749.1505151,35.99385491,286.5481513,0.931880997,1.224962118,1.650916544,1.894413416,26.24265465,15.08148165,24.73344999,18.59995555,31.28282976,18.59995555,6.923993734,2.279578689,24.15414549,286.5481513,280.5944845,272.8534741,242.7312864,193.9170677,286.5481513
g2,5366,20,24.15414549,744.4586854,37.47489192,311.4143971,0.879865247,1.207707275,1.481037012,1.873744596,24.86624574,15.57071985,25.31657513,19.0359448,31.81750256,19.0359448,7.090855894,2.251613545,24.15414549,311.4143971,304.8435385,296.4605721,264.9441904,214.3299349,311.4143971
g2,5366,21,24.98382369,739.9044387,38.79951766,335.009829,0.8296782,1.18970589,1.324625735,1.847596079,23.5954319,15.952849,25.83927989,19.42503155,32.25236657,19.42503155,7.242287945,2.223805921,24.15414549,335.009829,327.9261123,318.9924282,286.2485285,234.0496788,335.009829
g2,5366,22,25.76527686,735.4837491,39.9810352,357.2567591,0.781453173,1.171148948,1.181517545,1.817319782,22.24693014,16.2389436,26.30846662,19.77264071,32.59530908,19.77264071,7.37992954,2.196247427,24.15414549,357.2567591,349.7028991,340.2482748,306.2893232,252.5729768,357.2567591
g2,5366,23,26.50055109,731.1924017,41.03231939,378.3038095,0.735274227,1.152197874,1.051284185,1.784013886,21.04705039,16.44799172,26.73020305,20.08355987,32.85399822,20.08355987,7.505202026,2.169010452,24.15414549,378.3038095,370.3529235,360.5401583,325.6367734,270.6766457,378.3038095
g2,5366,24,27.19173728,727.0260658,41.96563908,398.4548292,0.691186185,1.132989053,0.933319689,1.748568295,20.15101966,16.60228455,27.10984216,20.36202649,33.03580547,20.36202649,7.61934491,2.14215156,24.15414549,398.4548292,390.1677581,379.9412418,344.0810522,287.8048644,398.4548292
g2,5366,25,27.84094003,722.9803528,42.79254393,417.2318884,0.649202757,1.113637601,0.826904851,1.711701757,18.77705927,16.68927554,27.45211846,20.61179803,33.14774959,20.61179803,7.723444852,2.11571424,24.15414549,417.2318884,408.684467,398.1820314,361.4399941,303.9775255,417.2318884
g2,5366,26,28.45025319,719.0508625,43.5237997,434.6226104,0.609313155,1.094240507,0.731255777,1.673992296,17.39072192,16.71625424,27.76122686,20.83620989,33.19645897,20.83620989,7.818458979,2.089731162,24.15414549,434.6226104,425.8679395,415.1165023,377.5833773,319.0521164,434.6226104
g2,5366,27,29.02174066,715.2332202,44.16935985,450.7972418,0.571487474,1.074879284,0.645560145,1.635902217,16.17463141,16.69619414,28.04088866,21.03822418,33.18814917,21.03822418,7.905233842,2.064226042,24.15414549,450.7972418,441.9362088,431.0337842,392.9766701,333.6042708,450.7972418
g2,5366,28,29.55742175,711.5231051,44.73836374,469.3668983,0.535681086,1.055622205,0.56900389,1.597798705,18.56965652,16.76310351,28.29440748,21.22047163,33.12861301,21.22047163,7.984520969,2.039215203,24.15414549,469.3668983,460.2349064,448.9812739,409.7870201,348.8281654,469.3668983
g2,5366,29,30.05925997,707.9162737,45.23915417,483.002426,0.501838219,1.036526206,0.500790429,1.559970833,13.63552774,16.65525607,28.52471733,21.38528789,33.02322046,21.38528789,8.056989748,2.01470888,24.15414549,483.002426,473.7060691,462.2634883,422.5311694,360.7099471,483.002426
g2,5366,30,30.52915484,704.4085766,45.67930827,495.5751656,0.469894874,1.017638495,0.440154102,1.522643609,12.57273956,16.51917219,28.73442435,21.5347455,32.87692623,21.5347455,8.123238187,1.990712308,24.15414549,495.5751656,486.191682,474.6188982,434.4461286,371.9391912,495.5751656
g1,8015,9.5036,11.56,1275,15.76,60.02438724,0,1.216381161,0,1.673000573,0,6.371880347,12.54521398,8.547049042,19.59604867,8.547049042,4.51036028,2.393650959,22.86829827,60.02438724,59.03095296,54.38393899,33.0681868,5.705844996,60.02438724
g1,8015,10,12.21909089,1270.923142,18.39559165,73.65717793,0.659090887,1.221909089,2.635591645,1.839559165,13.63279069,7.365717793,13.57538939,9.351503934,20.36318269,9.351503934,4.765259829,2.386274255,22.86829827,73.65717793,72.96152536,68.00583949,45.16429974,12.34244601,73.65717793
g1,8015,11,13.5143827,1262.8332,21.61523201,94.60385081,1.295291812,1.228580245,3.219640364,1.965021092,20.94667288,8.600350074,14.76257152,10.15378582,21.78315741,10.15378582,5.200463131,2.359762613,22.86829827,94.60385081,93.77520637,88.22457945,62.49068699,22.44166699,94.60385081
